Username,Level1,Level2,Level3
pratit,true,true,true,true
guest,true,true,true,false
manav,TRUE,FALSE,FALSE
mahir,true,false,false,false
aryan,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
